type,area,
Superficial_cell_external,65.8,
Superficial_cell_external,75,
Superficial_cell_external,57.2,
Superficial_cell_external,54,
Superficial_cell_external,69.8,
Superficial_cell_external,56,
Superficial_cell_external,79.3,
Superficial_cell_external,189.6,
Superficial_cell_external,75.3,
Superficial_cell_external,42.9,
Superficial_cell_external,58.3,
Superficial_cell_external,69.4,
Superficial_cell_external,11.8,
Superficial_cell_external,90.4,
Superficial_cell_external,53.4,
Superficial_cell_external,77.9,
Superficial_cell_external,66.1,
Superficial_cell_external,32.4,
Superficial_cell_external,76.3,
Superficial_cell_external,60,
Superficial_cell_external,59.1,
Superficial_cell_external,49.1,
Superficial_cell_external,55.6,
Superficial_cell_external,13.5,
Superficial_cell_external,8.2,
Superficial_cell_external,117,
Superficial_cell_external,58.6,
Superficial_cell_external,28.9,
Superficial_cell_external,87.3,
Superficial_cell_external,71.8,
Superficial_cell_external,93.5,
Superficial_cell_external,45.2,
Superficial_cell_external,117.9,
Superficial_cell_external,11.9,
Superficial_cell_external,90.3,
Superficial_cell_external,76.9,
Superficial_cell_external,44,
Superficial_cell_external,85.6,
Superficial_cell_external,95.1,
Superficial_cell_external,16.8,
Superficial_cell_external,70.2,
Superficial_cell_external,69.3,
Superficial_cell_external,44.4,
Neuromast_cell_external,9.4,
Neuromast_cell_external,32.6,
Neuromast_cell_external,4.9,
Neuromast_cell_external,50.7,
Neuromast_cell_external,36.2,
Neuromast_cell_external,38.4,
Neuromast_cell_external,20.1,
Neuromast_cell_external,22.5,
Neuromast_cell_external,17.7,
Neuromast_cell_external,37.7,
Neuromast_cell_external,12.5,
Neuromast_cell_external,14.7,
Neuromast_cell_external,28.4,
Neuromast_cell_external,78.9,
Neuromast_cell_external,13.7,
Neuromast_cell_external,25.2,
Neuromast_cell_external,19.7,
Neuromast_cell_external,40.7,
Neuromast_cell_external,11.2,
Neuromast_cell_external,96.8,
Neuromast_cell_external,52.1,
Neuromast_cell_external,37.6,
Neuromast_cell_external,30.5,
Neuromast_cell_external,27.8,
Neuromast_cell_external,19.8,
Neuromast_cell_external,22.4,
Neuromast_cell_external,11.3,
Neuromast_cell_external,17.2,
Neuromast_cell_external,1.2,
Neuromast_cell_external,36.7,
Neuromast_cell_external,38.3,
Neuromast_cell_external,9.4,
Neuromast_cell_external,24.5,
Neuromast_cell_external,53.7,
Neuromast_cell_external,14.7,
Neuromast_cell_external,4.6,
Neuromast_cell_external,15.1,
Neuromast_cell_external,22.7,
Neuromast_cell_external,26.6,
Neuromast_cell_external,3.8,
Neuromast_cell_external,14.7,
Neuromast_cell_external,6,
Neuromast_cell_external,23,
Neuromast_cell_external,38.4,
Neuromast_cell_external,16.8,
Neuromast_cell_external,22.9,
Neuromast_cell_external,6.5,
Neuromast_cell_external,44.4,
Neuromast_cell_external,5.4,
Neuromast_cell_external,27,
Neuromast_cell_external,25.1,
Neuromast_cell_external,7.6,
Neuromast_cell_external,28,
Neuromast_cell_external,16.4,
Neuromast_cell_external,13.5,
Neuromast_cell_external,0.7,
Neuromast_cell_external,13.5,
Neuromast_cell_external,31.7,
Neuromast_cell_external,35,
Neuromast_cell_external,16.1,
Neuromast_cell_external,14.2,
Leading_cell_external,128.7,
Leading_cell_external,82.8,
Leading_cell_external,19.7,
Leading_cell_external,47.9,
Leading_cell_external,71.8,
Leading_cell_external,28.4,
Leading_cell_external,65,
Leading_cell_external,2.3,
Leading_cell_external,85,
Leading_cell_external,151.1,
Leading_cell_external,87.2,
Superficial_cell_area,132,
Superficial_cell_area,244,
Superficial_cell_area,149.4,
Superficial_cell_area,180.7,
Superficial_cell_area,161.3,
Superficial_cell_area,229.2,
Superficial_cell_area,137.1,
Superficial_cell_area,248,
Superficial_cell_area,145.2,
Superficial_cell_area,165.4,
Superficial_cell_area,182.9,
Superficial_cell_area,116.9,
Superficial_cell_area,131.2,
Superficial_cell_area,128.7,
Superficial_cell_area,151.1,
Superficial_cell_area,150.5,
Superficial_cell_area,116.1,
Superficial_cell_area,145.3,
Superficial_cell_area,143.8,
Superficial_cell_area,158.5,
Superficial_cell_area,126.1,
Superficial_cell_area,168.9,
Superficial_cell_area,153.9,
Superficial_cell_area,180.4,
Superficial_cell_area,136.5,
Superficial_cell_area,133.7,
Superficial_cell_area,226.5,
Superficial_cell_area,147.1,
Superficial_cell_area,166.5,
Superficial_cell_area,161.5,
Superficial_cell_area,149.8,
Superficial_cell_area,162.5,
Superficial_cell_area,176,
Superficial_cell_area,225.9,
Superficial_cell_area,167.6,
Superficial_cell_area,164.3,
Superficial_cell_area,144.7,
Superficial_cell_area,140.4,
Superficial_cell_area,145.9,
Superficial_cell_area,176.2,
Superficial_cell_area,183,
Superficial_cell_area,165.2,
Superficial_cell_area,169.6,
Superficial_cell_area,141.4,
Superficial_cell_area,138.4,
Neuromast_cell_area,203.6,
Neuromast_cell_area,240.6,
Neuromast_cell_area,119.5,
Neuromast_cell_area,149.9,
Neuromast_cell_area,155.5,
Neuromast_cell_area,229.5,
Neuromast_cell_area,142.5,
Neuromast_cell_area,180,
Neuromast_cell_area,209,
Neuromast_cell_area,146.8,
Neuromast_cell_area,189.1,
Neuromast_cell_area,146.7,
Neuromast_cell_area,172.9,
Neuromast_cell_area,121.5,
Neuromast_cell_area,197,
Neuromast_cell_area,217.8,
Neuromast_cell_area,165.7,
Neuromast_cell_area,184.2,
Neuromast_cell_area,180.3,
Neuromast_cell_area,238.4,
Neuromast_cell_area,168.8,
Neuromast_cell_area,232.1,
Neuromast_cell_area,200.2,
Neuromast_cell_area,222.8,
Neuromast_cell_area,159.4,
Neuromast_cell_area,204,
Neuromast_cell_area,197.8,
Neuromast_cell_area,179.2,
Neuromast_cell_area,211.3,
Neuromast_cell_area,186.1,
Neuromast_cell_area,193,
Neuromast_cell_area,215.2,
Neuromast_cell_area,193.8,
Neuromast_cell_area,186.6,
Neuromast_cell_area,237.9,
Neuromast_cell_area,233.1,
Neuromast_cell_area,178.1,
Neuromast_cell_area,189.6,
Neuromast_cell_area,181,
Neuromast_cell_area,179.6,
Neuromast_cell_area,158.3,
Neuromast_cell_area,190.2,
Neuromast_cell_area,197,
Neuromast_cell_area,188.5,
Neuromast_cell_area,171.7,
Neuromast_cell_area,197.2,
Neuromast_cell_area,180.1,
Neuromast_cell_area,186.5,
Neuromast_cell_area,177.7,
Neuromast_cell_area,173,
Neuromast_cell_area,181.6,
Neuromast_cell_area,183.8,
Neuromast_cell_area,194.9,
Neuromast_cell_area,197.9,
Neuromast_cell_area,156.7,
Neuromast_cell_area,169.7,
Neuromast_cell_area,229.1,
Neuromast_cell_area,146.6,
Neuromast_cell_area,129.5,
Neuromast_cell_area,168.7,
Neuromast_cell_area,184.5,
Neuromast_cell_area,141.5,
Neuromast_cell_area,185,
Neuromast_cell_area,150.5,
Neuromast_cell_area,148.1,
Leading_cell_area,188.8,
Leading_cell_area,135.6,
Leading_cell_area,168.6,
Leading_cell_area,128.2,
Leading_cell_area,150.9,
Leading_cell_area,151.2,
Leading_cell_area,198.7,
Leading_cell_area,178.9,
Leading_cell_area,155.9,
Leading_cell_area,166.3,
Leading_cell_area,158.6,
