bleb,timepoint,lifeact,membrane,ratio
1,0,1,1,1
1,5,1.119110441,1.037995595,1.078145656
1,10,1.330569167,0.947687225,1.404017204
1,15,1.482095741,1.010462555,1.46674979
1,20,1.57105164,0.987334802,1.591204561
1,25,1.499434602,1.049008811,1.429382277
1,30,1.441764041,1.137665198,1.267300822
2,0,1,1,1
2,5,1.142020089,1.082725061,1.054764622
2,10,1.407645089,0.979927007,1.436479532
2,15,1.279575893,0.750608273,1.704718613
2,20,1.304129464,0.824817518,1.581112713
2,25,1.413225446,0.821167883,1.720994544
2,30,1.361328125,0.743917275,1.829945574
3,0,1,1,1
3,5,0.974576271,0.957538168,1.017793654
3,10,1.149011299,1.073473282,1.070367859
3,15,1.23269774,1.116889313,1.103688365
3,20,1.438559322,1.102576336,1.304725374
3,25,1.438206215,1.152194656,1.248231978
3,30,1.873940678,1.20610687,1.553710309
3,35,1.930084746,1.283874046,1.503328735
3,40,1.920903955,1.119274809,1.716204045
4,0,1,1,1
4,5,1.323863636,1.081378299,1.224237288
4,10,1.587357955,1.143695015,1.387920673
4,15,1.646661932,0.980938416,1.678659847
4,20,1.662286932,0.98313783,1.690797446
4,25,1.700284091,0.957478006,1.77579441
4,30,1.7109375,0.934750733,1.830367647
5,0,1,1,1
5,5,1.534729879,1.05186722,1.459052863
5,10,1.588202867,0.923928077,1.718968073
5,15,1.867144432,0.870677732,2.144472477
5,20,1.927232635,0.819502075,2.351711722
5,25,1.915656009,0.736514523,2.600975201
5,30,1.55567806,0.704702628,2.207566707
6,0,1,1,1
6,5,1.253115682,0.977523737,1.281928647
6,10,1.284943654,0.90741486,1.416048722
6,15,1.338068158,0.867712976,1.542063096
6,20,1.500174756,0.883974891,1.69707847
6,25,1.266006454,0.915220479,1.383280295
6,30,1.14290181,0.818742328,1.395923688
7,0,1,1,1
7,5,1.293474096,0.99926025,1.294431652
7,10,1.442374079,0.951433805,1.516000453
7,15,1.566468912,0.943595436,1.660106495
7,20,1.545110449,0.790686838,1.954137056
7,25,1.804013727,0.609088805,2.961823811
7,30,1.896448092,0.709038207,2.674676868
8,0,1,1,1
8,5,1.314422563,1.01357755,1.296814993
8,10,1.321855385,1.047107829,1.26238707
8,15,1.46703205,0.865125022,1.695745716
8,20,1.568635635,0.821644312,1.909141965
8,25,1.821707912,0.703359645,2.590009143
